iter	Logloss
0	0.6827489133
1	0.6729942459
2	0.6642261803
3	0.6560829316
4	0.6483085391
5	0.6404306131
6	0.632546316
7	0.6264310037
8	0.6203575753
9	0.6145581257
10	0.6089389346
11	0.603390961
12	0.5995197274
13	0.5950036779
14	0.5905167509
15	0.5871404079
16	0.5830616422
17	0.5794113692
18	0.5757240542
19	0.5734872233
20	0.5709232956
21	0.5670170162
22	0.563813369
23	0.5606824303
24	0.5586706136
25	0.5558836582
26	0.5549731173
27	0.5527056214
28	0.5498415558
29	0.5476465043
30	0.5457776987
31	0.5436766641
32	0.5423043355
33	0.5399304606
34	0.5378079625
35	0.5362930125
36	0.5352298454
37	0.5335114974
38	0.5322571907
39	0.5310733221
40	0.5289036297
41	0.5277580642
42	0.5265370848
43	0.5256887906
44	0.5234298476
45	0.5222049506
46	0.5212569648
47	0.5204331817
48	0.5193383773
49	0.5181775924
50	0.5173090977
51	0.5165937265
52	0.5156851911
53	0.5151847788
54	0.5144806189
55	0.5136136816
56	0.5127004197
57	0.5120553
58	0.5116018421
59	0.5108954232
60	0.510091377
61	0.5098874008
62	0.5091109269
63	0.5086997122
64	0.5079539573
65	0.50739912
66	0.5072178766
67	0.5068004873
68	0.5066531996
69	0.506313884
70	0.5055415789
71	0.5047752104
72	0.5042128741
73	0.5034453614
74	0.5027252312
75	0.5016027303
76	0.5006621309
77	0.5006599704
78	0.5002894335
79	0.4997885153
80	0.4994107942
81	0.4985370861
82	0.4982036855
83	0.4977829037
84	0.4972324473
85	0.4970014998
86	0.4963275019
87	0.4958174714
88	0.4949762555
89	0.4944076299
90	0.4939040957
91	0.4932285151
92	0.4926189726
93	0.4921719546
94	0.4918204064
95	0.4914941675
96	0.4911847262
97	0.4907240701
98	0.4903707326
99	0.4900571553
100	0.4895686656
101	0.4892358901
102	0.4885697207
103	0.4884051208
104	0.4878684967
105	0.4873782599
106	0.4865835877
107	0.4862318956
108	0.4859608894
109	0.4853586141
110	0.4848034742
111	0.4844452748
112	0.4842533814
113	0.4837884429
114	0.483217915
115	0.4828229079
116	0.4823272173
117	0.4817789559
118	0.4814382194
119	0.4807642766
120	0.4803498126
121	0.4802271642
122	0.4799449742
123	0.4795051971
124	0.4793934562
125	0.4791730784
126	0.4788833736
127	0.4785260264
128	0.478229647
129	0.4774964527
130	0.477025471
131	0.4766922227
132	0.4761978983
133	0.4757747539
134	0.4756734987
135	0.475452037
136	0.4752122716
137	0.4746796859
138	0.4743712917
139	0.4734577503
140	0.4733025674
141	0.4731868108
142	0.4730725369
143	0.4725904342
144	0.4719474772
145	0.4715707758
146	0.4707345548
147	0.470616604
148	0.4705255166
149	0.4702661004
150	0.4701437552
151	0.4698409676
152	0.4690176771
153	0.4687707799
154	0.4682905796
155	0.4680253949
156	0.4680253891
157	0.4677792027
158	0.4674807635
159	0.4673020705
160	0.4671305883
161	0.4668055629
162	0.4667312088
163	0.4664149062
