iter	Passed	Remaining
0	187	187304
1	231	115384
2	283	94256
3	322	80340
4	360	71803
5	397	65850
6	441	62571
7	477	59255
8	519	57190
9	557	55215
10	590	53047
11	628	51782
12	654	49705
13	690	48653
14	732	48088
15	770	47359
16	808	46744
17	842	45970
18	882	45588
19	906	44422
20	950	44326
21	1007	44798
22	1053	44742
23	1096	44605
24	1138	44399
25	1181	44263
26	1199	43217
27	1244	43217
28	1291	43254
29	1338	43265
30	1384	43267
31	1427	43192
32	1471	43128
33	1516	43083
34	1554	42848
35	1592	42634
36	1631	42454
37	1669	42270
38	1706	42050
39	1744	41871
40	1783	41723
41	1819	41507
42	1856	41308
43	1896	41198
44	1933	41040
45	1971	40884
46	2009	40754
47	2034	40359
48	2068	40152
49	2107	40037
50	2143	39876
51	2179	39726
52	2208	39469
53	2247	39368
54	2284	39250
55	2328	39252
56	2365	39134
57	2403	39037
58	2441	38945
59	2476	38804
60	2515	38721
61	2535	38364
62	2569	38218
63	2607	38131
64	2648	38095
65	2677	37894
66	2702	37635
67	2745	37631
68	2765	37318
69	2803	37246
70	2841	37176
71	2879	37119
72	2917	37052
73	2955	36988
74	2993	36921
75	3034	36892
76	3071	36822
77	3085	36477
78	3120	36380
79	3154	36279
80	3193	36235
81	3231	36179
82	3268	36114
83	3309	36087
84	3347	36033
85	3385	35983
86	3433	36027
87	3470	35971
88	3510	35929
89	3547	35869
90	3587	35839
91	3627	35801
92	3666	35753
93	3703	35695
94	3757	35792
95	3816	35940
96	3870	36027
97	3924	36119
98	3976	36189
99	4030	36277
100	4080	36319
101	4120	36275
102	4157	36210
103	4208	36253
104	4263	36340
105	4313	36382
106	4364	36424
107	4419	36504
108	4468	36523
109	4508	36475
110	4548	36426
111	4586	36365
112	4624	36302
113	4663	36245
114	4702	36185
115	4739	36119
116	4778	36059
117	4816	36002
118	4854	35938
119	4892	35876
120	4930	35815
121	4943	35577
122	4979	35506
123	5018	35453
124	5037	35264
125	5075	35203
126	5112	35145
127	5151	35092
128	5188	35033
129	5227	34982
130	5264	34922
131	5303	34872
132	5341	34821
133	5379	34763
134	5416	34706
135	5455	34661
136	5494	34609
137	5532	34556
138	5571	34513
139	5610	34464
140	5647	34406
141	5679	34315
142	5716	34258
143	5754	34204
144	5790	34143
145	5829	34096
146	5867	34044
147	5891	33918
148	5929	33867
149	5967	33813
150	5998	33728
151	6036	33677
152	6075	33634
153	6113	33584
154	6150	33530
155	6187	33478
156	6195	33268
157	6231	33210
158	6268	33157
159	6306	33108
160	6345	33068
161	6382	33013
162	6420	32970
163	6459	32927
164	6501	32902
165	6539	32856
166	6579	32817
167	6616	32768
168	6653	32717
169	6692	32676
170	6729	32623
171	6766	32572
172	6805	32530
173	6843	32485
174	6881	32441
175	6918	32389
176	6953	32333
177	6989	32275
178	7006	32135
179	7041	32077
180	7078	32030
181	7117	31988
182	7154	31941
183	7191	31893
184	7229	31846
185	7266	31802
186	7304	31758
187	7343	31716
188	7384	31687
189	7432	31687
190	7487	31712
191	7537	31721
192	7586	31721
193	7630	31700
194	7667	31654
195	7705	31610
196	7761	31635
197	7816	31662
198	7870	31678
199	7920	31683
200	7961	31646
201	7974	31503
202	8011	31452
203	8050	31411
204	8070	31296
205	8108	31251
206	8136	31169
207	8175	31131
208	8216	31097
209	8253	31050
210	8292	31008
211	8330	30965
212	8368	30921
213	8408	30882
214	8445	30836
215	8483	30792
216	8522	30750
217	8537	30624
218	8578	30592
219	8616	30548
220	8630	30421
221	8647	30306
222	8660	30174
223	8696	30125
224	8715	30018
225	8732	29908
226	8768	29860
227	8804	29811
228	8817	29688
229	8852	29636
230	8891	29598
231	8916	29515
232	8952	29471
233	8990	29429
234	9026	29384
235	9065	29347
236	9103	29307
237	9141	29268
238	9173	29208
239	9209	29162
240	9246	29121
241	9261	29008
242	9297	28963
243	9310	28848
244	9346	28802
245	9385	28766
246	9424	28732
247	9463	28696
248	9482	28600
249	9519	28559
250	9534	28450
251	9573	28416
252	9611	28379
253	9650	28344
254	9689	28308
255	9727	28271
256	9766	28236
257	9804	28197
258	9841	28157
259	9879	28117
260	9919	28087
261	9965	28071
262	10007	28042
263	10049	28015
264	10091	27989
265	10130	27953
266	10168	27915
267	10206	27878
268	10244	27839
269	10284	27806
270	10324	27772
271	10362	27734
272	10401	27699
273	10440	27662
274	10454	27561
275	10490	27519
276	10528	27480
277	10550	27401
278	10591	27369
279	10632	27340
280	10652	27257
281	10687	27212
282	10728	27180
283	10767	27146
284	10806	27111
285	10844	27072
286	10882	27034
287	10920	26998
288	10957	26957
289	10993	26915
290	11031	26877
291	11070	26842
292	11110	26808
293	11147	26769
294	11186	26732
295	11222	26692
296	11235	26595
297	11272	26555
298	11312	26521
299	11351	26487
300	11389	26449
301	11428	26413
302	11466	26377
303	11505	26340
304	11542	26301
305	11581	26267
306	11617	26225
307	11656	26188
308	11695	26152
309	11740	26133
310	11779	26097
311	11818	26060
312	11857	26025
313	11895	25988
314	11933	25950
315	11972	25914
316	12009	25875
317	12047	25837
318	12086	25802
319	12126	25767
320	12164	25731
321	12201	25692
322	12240	25654
323	12277	25616
324	12315	25578
325	12353	25540
326	12390	25501
327	12428	25463
328	12467	25427
329	12505	25389
330	12549	25363
331	12592	25337
332	12634	25306
333	12678	25281
334	12722	25254
335	12763	25223
336	12808	25199
