tenure,MonthlyCharges,TotalCharges,AverageDataUsage,LatePaymentCount,AppLoginFrequency,CustomerSatisfactionScore,customerID
1.0,29.85,29.85,122.91050216580388,2.0,2.0,3.0,7590-VHVEG
34.0,56.95,1889.5,171.8168224584684,,2.0,2.0,5575-GNVDE
2.0,53.85,108.15,104.87429505894934,1.0,0.0,2.0,3668-QPYBK
45.0,42.3,1840.75,108.55828491074332,0.0,5.0,3.0,7795-CFOCW
2.0,70.7,151.65,247.30882450630943,1.0,0.0,3.0,9237-HQITU
8.0,99.65,820.5,319.9421956138533,0.0,4.0,ORPH-694b06ff,9305-CDSKC
22.0,89.1,1949.4,341.1474029248671,0.0,3.0,2.0,1452-KIOVK
10.0,29.75,301.9,102.76604700864708,1.0,3.0,2.0,UNK-eb346ca8
28.0,104.8,3046.05,401.13371271209473,0.0,0.0,2.0,7892-POOKP
62.0,56.15,3487.95,114.6936123690039,3.664426310772666,2.0,3.0,6388-TABGU
13.0,49.95,587.45,201.2287542039592,0.0,2.0,2.0,9763-GRSKD
16.0,18.95,326.8,47.12027290463364,1.0,0.0,2.0,7469-LKBCI
58.0,100.35,5681.1,367.2483989290204,0.0,1.0,2.0,8091-TTVAX
49.0,103.7,5036.3,314.51700794281817,0.0,0.0,2.0,0280-XJGEX
25.0,105.5,2686.05,354.4535736265061,1.0,3.0,2.0,5129-JLPIS
69.0,113.25,7895.15,388.69172235023336,0.0,3.0,2.0,3655-SNQYZ
52.0,20.65,1022.95,0.0,1.0,0.0,3.0,8191-XWSZG
71.0,106.7,7382.25,295.3034147517417,1.0,6.0,2.0,9959-WOFKT
10.0,55.2,528.35,139.55671558949948,0.0,1.0,3.0,4190-MFLUW
21.0,90.05,1862.9,262.87113257708546,1.0,8.0,2.0,4183-MYFRB
1.0,39.65,39.65,146.89654856500178,0.0,8.0,1.0,8779-QRDMV
unknown,19.8,202.25,86.6612351814484,0.0,3.0,UNK-150c7452,1680-VDCWW
1.0,20.15,20.15,65.57913406922253,unknown,1.0,2.0,1066-JKSGK
58.0,59.9,3505.1,95.86575269586923,0.0,10.0,3.0,3638-WEABW
49.0,59.6,2970.3,81.9587271151601,0.0,4.0,2.0,6322-HRPFA
30.0,55.3,1530.6,81.93020571901133,0.0,0.0,2.0,6865-JZNKO
47.0,,4749.15,351.06568522259545,0.0,5.0,2.0,6467-CHFZW
1.0,30.2,30.2,175.32846213625254,2.0,2.0,1.0,8665-UTDHZ
72.0,90.25,6369.45,163.51797251663726,0.0,5.0,4.0,5248-YGIJN
17.0,64.7,1093.1,235.47539134050848,0.0,0.0,2.0,8773-HHUOZ
71.0,96.35,6766.95,208.7322801588452,0.0,7.0,2.0,3841-NFECX
2.0,95.5,181.65,275.538340524433,0.0,6.0,1.0,4929-XIHVW
27.0,66.15,1874.45,111.51250333313357,0.0,8.0,2.0,6827-IEAUQ
1.0,20.2,20.2,75.41074761460315,0.0,0.0,3.0,7310-EGVHZ
1.0,45.25,45.25,91.2005530003191,1.0,1.0,ORPH-7d062147,3413-BMNZE
72.0,99.9,7251.7,261.9086485705076,2.0,4.0,2.0,6234-RAAPL
5.0,69.7,316.9,275.0371716488122,1.0,1.0,2.0,6047-YHPVI
46.0,74.8,3548.3,265.6331111822527,0.0,0.0,3.0,6572-ADKRS
34.0,106.35,3549.25,352.2600158261434,0.0,0.0,2.0,5380-WJKOV
11.0,97.85,1105.4,301.45316696137513,0.0,6.0,1.0,8168-UQWWF
10.0,49.55,475.7,112.90057321534448,1.0,9.0,2.0,8865-TNMNX
70.0,69.2,4872.35,180.23580265894032,0.0,2.0,2.0,9489-DEDVP
17.0,20.75,418.25,19.967033412087897,1.0,1.0,2.0,9867-JCZSP
63.0,79.85,4861.45,191.57070870899923,0.0,5.0,3.0,4671-VJLCL
13.0,76.2,981.45,147.71195033355897,0.0,6.0,3.0,4080-IIARD
49.0,84.5,3906.7,318.3465789596795,0.0,0.0,2.0,3714-NTNFO
2.0,49.25,97,164.83498082825324,0.0,3.0,2.0,5948-UJZLF
2.0,80.65,144.15,328.56834346614187,1.0,5.0,2.0,7760-OYPDY
52.0,79.75,4217.8,259.7728080355108,0.0,10.0,3.0,7639-LIAYI
69.0,64.15,4254.1,154.13779801463227,0.0,4.0,3.0,2954-PIBKO
43.0,90.25,3838.75,197.18636994796444,unknown,5.0,2.0,8012-SOUDQ
15.0,99.1,1426.4,,1.0,0.0,1.0,9420-LOJKX
25.0,69.5,1752.65,101.97918714543576,0.0,5.0,2.0,6575-SUVOI
8.0,80.65,633.3,246.35382573548583,0.0,0.0,2.0,7495-OOKFY
60.0,74.85,4456.35,153.93402294262052,0.0,10.0,2.0,4667-QONEA
18.0,95.45,1752.55,291.4997528895191,0.0,0.0,1.0,1658-BYGOY
63.0,99.65,6311.2,397.2657238916594,0.0,4.0,2.0,8769-KKTPH
66.0,108.45,7076.35,300.5242620783216,0.0,0.0,3.0,5067-XJQFU
34.0,24.95,894.3,0.0,0.0,2.0,2.0,3957-SQXML
