Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,customerID
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,7590-VHVEG
One year,No,Mailed check,Yes,Monthly,No,Yes,5575-GNVDE
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,3668-QPYBK
One year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7795-CFOCW
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,9237-HQITU
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,9305-CDSKC
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,1452-KIOVK
Month-to-month,No,Mailed check,No,Monthly,No,Yes,6713-OKOMC
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,7892-POOKP
One year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,6388-TABGU
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,9763-GRSKD
Two year,No,Credit card (automatic),No,Monthly,No,Yes,7469-LKBCI
One year,No,Credit card (automatic),Yes,Quarter,Yes,Yes,8091-TTVAX
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,0280-XJGEX
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,5129-JLPIS
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,3655-SNQYZ
One year,No,Mailed check,No,Quarter,Yes,Yes,8191-XWSZG
Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,9959-WOFKT
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,Yes,4190-MFLUW
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,4183-MYFRB
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,8779-QRDMV
One year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,1680-VDCWW
UNK-c3dbe03a,No,Mailed check,Yes,Monthly,Yes,Yes,1066-JKSGK
Two year,Yes,Credit card (automatic),No,Semiann,Yes,Yes,3638-WEABW
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,Yes,6322-HRPFA
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,6865-JZNKO
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,ORPH-c142db50
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,8665-UTDHZ
Two year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,5248-YGIJN
Month-to-month,Yes,Mailed check,No,Monthly,No,Yes,8773-HHUOZ
Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,3841-NFECX
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,4929-XIHVW
One year,No,Mailed check,No,Monthly,Yes,Yes,6827-IEAUQ
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,No,7310-EGVHZ
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,No,3413-BMNZE
Two year,No, Bank transfer (automatic)  ,Yes,Monthly,No,Yes,6234-RAAPL
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,6047-YHPVI
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,6572-ADKRS
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,5380-WJKOV
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,8168-UQWWF
One year,No,Mailed check,No,Quarter,No,Yes,8865-TNMNX
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,9489-DEDVP
One year,No,Mailed check,Yes,Monthly,Yes,Yes,9867-JCZSP
Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,4671-VJLCL
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,4080-IIARD
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,3714-NTNFO
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,ORPH-ecd9a983
Month-to-month,Yes,Electronic check,No,Monthly,No,Yes,7760-OYPDY
Two year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,7639-LIAYI
Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,2954-PIBKO
Month-to-month,Yes,Electronic check,No,Monthly,No,Yes,8012-SOUDQ
Month-to-month,Yes,Credit card (automatic),no,Monthly,yes,No,9420-LOJKX
Month-to-month,Yes,Credit card (automatic),,Monthly,Yes,Yes,6575-SUVOI
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,7495-OOKFY
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,4667-QONEA
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,1658-BYGOY
One year,Yes,Credit card (automatic),No,Semiann,Yes,Yes,8769-KKTPH
One year,Yes,Electronic check,Yes,Semiann,Yes,Yes,5067-XJQFU
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,3957-SQXML
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,5954-BDFSG
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,0434-CSFON
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,1215-FIGMP
Two year,No,Bank transfer (automatic),No,Monthly, Yes  ,Yes,0526-SXDJP
One year,Yes,Credit card (automatic),No,Monthly,No,Yes,0557-ASKVU
 Month-to-month  ,No,Electronic check,Yes,Monthly,No,Yes,5698-BQJOH
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,5122-CYFXA
One year,Yes,Electronic check,No,Quarter,Yes,Yes,8627-ZYGSZ
Two year,No,Mailed check,No,Monthly,No,Yes,3410-YOQBQ
Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,3170-NMYVV
Month-to-month,Yes,Mailed check,No,Monthly,No,No,7410-OIEDU
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,2273-QCKXA
One year,,Electronic check,Yes,Semiann,Yes,Yes,0731-EBJQB
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,1891-QRQSA
Two year,Yes,Bank transfer (automatic),Yes,Semiann,Yes,Yes,8028-PNXHQ
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,No,5630-AHZIL
two year,No,Electronic check,No,Monthly,No,Yes,2673-CXQEU
One year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,6416-JNVRK
Month-to-month,No,Mailed check,No,Monthly,No,Yes,5590-ZSKRV
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,0191-ZHSKZ
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,3887-PBQAO
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,5919-TMRGD
Month-to-month,No,Electronic check,No,Monthly,No,Yes,8108-UXRQN
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,9191-MYQKX
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,9919-YLNNG
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,YES ,0318-ZOPWS
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,4445-ZJNMU
One year,Yes,Bank transfer (automatic),No, Annual  ,Yes,Yes,4808-YNLEU
Two year,No,Bank transfer (automatic),No,Quarter,Yes,Yes,1862-QRWPE
Two year,Yes,Mailed check,No,Monthly,No,Yes,2796-NNUFI
Month-to-month,No,Mailed check,,Monthly,Yes,Yes,3016-KSVCP
Month-to-month,No,Bank transfer (automatic),No,Monthly,Yes,No,4767-HZZHQ
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,2424-WVHPL
Two year,Yes,Mailed check,No,Monthly,No,Yes,7233-PAHHL
Month-to-month,Yes, Credit card (automatic)  ,Yes,Monthly,Yes,Yes,6067-NGCEU
Two year,yes,Bank transfer (automatic),No,Monthly, Yes  ,Yes,9848-JQJTX
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,8637-XJIVR
One year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,9803-FTJCG
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,0278-YXOOG
Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,3212-KXOCR
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,4598-XLKNJ
Month-to-month,No,Mailed check,No,Monthly,Yes,No,6380-ARCEH
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,3679-XASPY
One year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,7123-WQUHX
One year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,5386-THSLQ
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,ORPH-030782bf
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,6180-YBIQI
One year,Yes,Electronic check,No,Monthly,Yes,Yes,6728-DKUCO
One year,No,Mailed check,Yes,Annual,No,Yes,9750-BOOHV
One year,No,Mailed check,Yes,Quarter,No,Yes,8597-CWYHH
Two year,No,Credit card (automatic),,Annual,Yes,Yes,2848-YXSMW
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,0486-HECZI
One year,No,Credit card (automatic),No,Monthly,No,Yes,4549-ZDQYY
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,5712-AHQNN
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,4846-WHAFZ
Two year,Yes,Electronic check,Yes,Monthly,Yes,Yes,5256-SKJGO
Month-to-month,No,Electronic check,Yes,Monthly,No,No,3071-VBYPO
Two year,No,Bank transfer (automatic),No,Annual,Yes,Yes,9560-BBZXK
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,5299-RULOA
Two year,No,Mailed check,No,Monthly,Yes,Yes,8402-OOOHJ
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,9445-ZUEQE
One year,Yes,Credit card (automatic),No,Semiann,Yes,Yes,1091-SOZGA
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,2928-HLDBA
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,0404-SWRVG
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,6497-TILVL
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,7219-TLZHO
Two year,Yes,Electronic check,Yes,Monthly,No,Yes,4622-YNKIJ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,4412-YLTKF
Two year,Yes,Bank transfer (automatic),No,Quarter,Yes,Yes,6734-PSBAW
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,3930-ZGWVE
One year,Yes,Electronic check,Yes,Quarter,No,Yes,2639-UGMAZ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,2876-GZYZC
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,6207-WIOLX
Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,8587-XYZSF
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,3091-FYHKI
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,2372-HWUHI
Two year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,7799-LGRDP
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7850-VWJUU
Two year,No,Mailed check,No,Monthly,Yes,Yes,3774-VBNXY
Two year,Yes,Mailed check,No,Monthly,Yes,Yes,ORPH-50cae35d
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,0390-DCFDQ
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,3146-MSEGF
Month-to-month,No,Electronic check,Yes,Monthly,No,No,4080-OGPJL
Two year,Yes,Bank transfer (automatic),No,Annual,,Yes,1095-WGNGG
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,2636-SJDOU
 Two year  ,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,1131-QQZEB
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,5716-EZXZN
One year,No,Mailed check,No,Quarter,No,No,6837-BJYDQ
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,2135-RXIHG
One year,No,Credit card (automatic),No,Semiann,Yes,Yes,6440-DKQGE
Month-to-month,Yes,Mailed check,No,Monthly,No,Yes,3466-BYAVD
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,3780-YVMFA
Month-to-month,No,Mailed check,Yes,Monthly,No,No,3874-EQOEP
One year,Yes,Credit card (automatic),Yes,Semiann,Yes,Yes,1679-JRFBR
Two year,No,Electronic check,No,Monthly,Yes,Yes,9073-ZZIAY
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,3077-RSNTJ
,Yes,Bank transfer (automatic),Yes,Monthly,Yes,No,6551-GNYDG
Month-to-month,Yes,Bank transfer (automatic),No,Monthly,No,No,9167-APMXZ
UNK-e5e4c268,No,Mailed check,No,Monthly,Yes,Yes,2749-CTKAJ
Two year,No,Mailed check,No,Monthly,Yes,Yes,6371-NZYEG
Two year,No,Bank transfer (automatic),Yes,Quarter,Yes,Yes,7554-NEWDD
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,8992-VONJD
Month-to-month,No,Electronic check,No,Monthly,Yes,Yes,0867-MKZVY
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,4482-EWFMI
Two year,Yes,Bank transfer (automatic),Yes,Quarter,Yes,Yes,ORPH-e34861b6
One year,No,Mailed check,No,Monthly,No,Yes,2907-ILJBN
Two year,No,Mailed check,No,Monthly,Yes,Yes,6345-FZOQH
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,No,3376-BMGFE
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,5997-OPVFA
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,3445-HXXGF
Month-to-month,No,Electronic check,No,Monthly,Yes,Yes,1159-WFSGR
One year,Yes,Bank transfer (automatic),yes,Monthly,Yes,Yes,7654-YWJUF
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,1875-QIVME
Two year,No,Mailed check,No,Monthly,Yes,Yes,6727-IOTLZ
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,0691-JVSYA
One year,No,Bank transfer (automatic),Yes,Monthly,No,Yes,5918-VUKWP
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,1744-JHKYS
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,2656-FMOKZ
ONE YEAR ,No,Bank transfer (automatic),Yes,Monthly,No,No,2070-FNEXE
