gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,customerID
FEMALE ,0.0,Yes,No,College,3.0,Self-employed,60–100k,7590-VHVEG
Male,0.0,No,No,College,2.0,Self-employed,100–150k,5575-GNVDE
Male,0.0,No,No,College,1.0,Self-employed,60–100k,3668-QPYBK
Male,0.0,No,No,College,3.0,Self-employed,60–100k,7795-CFOCW
Female,0.0,No,No,Bachelor,,Self-employed,>150k,9237-HQITU
Female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,9305-CDSKC
Male,0.0,No,Yes,Bachelor,2.0,Retired,>150k,1452-KIOVK
Female,0.0,No,No,College,1.0,Employed,60–100k,6713-OKOMC
Female,0.0,Yes,No,Bachelor,3.0,Retired,>150k,7892-POOKP
Male,0.0,No,Yes,College,1.0,Self-employed,60–100k,6388-TABGU
Male,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,9763-GRSKD
Male,0.0,No,No,College,2.0,Self-employed,60–100k,7469-LKBCI
Male,0.0,Yes,No,Bachelor,3.0,Self-employed,>150k,8091-TTVAX
Male,0.0,No,No,Bachelor,3.0,Retired,>150k,0280-XJGEX
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,5129-JLPIS
Female,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,3655-SNQYZ
Female,,No,No,College,1.0,Employed,60–100k,8191-XWSZG
Male,0.0,No,Yes,Bachelor,4.0,Self-employed,>150k,9959-WOFKT
Female,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,4190-MFLUW
Female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,4183-MYFRB
Male,1.0,No,No,HighSchool,1.0,Retired,60–100k,8779-QRDMV
Male,0.0,Yes,No,College,2.0,Self-employed,60–100k,1680-VDCWW
Male,0.0,No,No,College,1.0,Employed,60–100k,1066-JKSGK
Female,0.0,Yes,No,College,2.0,Self-employed,100–150k,3638-WEABW
Male,0.0,Yes,Yes,College,3.0,Self-employed,100–150k,6322-HRPFA
Female,0.0,No,No,College,1.0,Self-employed,60–100k,6865-JZNKO
Male,0.0,Yes,Yes,Bachelor,2.0,Self-employed,>150k,6467-CHFZW
Male,0.0,Yes,Yes,College,4.0,Employed,60–100k,8665-UTDHZ
Male,0.0,Yes,No,College,2.0,Retired,100–150k,5248-YGIJN
Female,0.0,No,Yes,College,2.0,Self-employed,100–150k,8773-HHUOZ
Female,1.0,Yes,No,College,2.0,Retired,100–150k,3841-NFECX
Male,1.0,Yes,No,College,2.0,Retired,100–150k,4929-XIHVW
Female,0.0,Yes,Yes,College,5.0,Self-employed,100–150k,6827-IEAUQ
Male,0.0,No,No,College,1.0,Self-employed,60–100k,7310-EGVHZ
Male,1.0,No,No,HighSchool,,Retired,60–100k,3413-BMNZE
Female,0.0,Yes,Yes,Bachelor,2.0,Self-employed,>150k,6234-RAAPL
Male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,6047-YHPVI
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,6572-ADKRS
Male,0.0,No,No,Bachelor,1.0,Retired,>150k,5380-WJKOV
Female,0.0,No,No,Bachelor,1.0,Retired,>150k,8168-UQWWF
Male,0.0,Yes,Yes,College,4.0,Employed,60–100k,8865-TNMNX
Female,0.0,Yes,Yes,College,3.0,Retired,100–150k,9489-DEDVP
Female,0.0,Yes,Yes,College,2.0,Employed,60–100k,9867-JCZSP
Female,0.0,No,No,College,1.0,Retired,100–150k,4671-VJLCL
Female,0.0,Yes,No,College,2.0,Self-employed,100–150k,4080-IIARD
