customerID,Churn,snapdate
5575-GNVDE,No,2024-01-01
1680-VDCWW,No,2024-01-01
9489-DEDVP,No,2024-01-01
1215-FIGMP,No,2024-01-01
8108-UXRQN,No,2024-01-01
3679-XASPY,No,2024-01-01
2928-HLDBA,No,2024-01-01
4080-OGPJL,Yes,2024-01-01
0867-MKZVY,Yes,2024-01-01
6582-OIVSP,No,2024-01-01
8544-GOQSH,No,2024-01-01
4443-EMBNA,No,2024-01-01
6614-FHDBO,No,2024-01-01
3606-TWKGI,Yes,2024-01-01
8229-MYEJZ,No,2024-01-01
8098-LLAZX,Yes,2024-01-01
9880-TDQAC,No,2024-01-01
6885-PKOAM,No,2024-01-01
5229-DTFYB,No,2024-01-01
6905-NIQIN,Yes,2024-01-01
9442-JTWDL,No,2024-01-01
5605-IYGFG,No,2024-01-01
5628-RKIFK,No,2024-01-01
6614-VBEGU,No,2024-01-01
0447-BEMNG,Yes,2024-01-01
4513-CXYIX,No,2024-01-01
4109-CYRBD,No,2024-01-01
2782-LFZVW,No,2024-01-01
7343-EOBEU,No,2024-01-01
3627-FHKBK,Yes,2024-01-01
5173-ZXXXL,No,2024-01-01
0516-UXRMT,No,2024-01-01
4580-TMHJU,Yes,2024-01-01
8095-WANWK,No,2024-01-01
7501-IWUNG,No,2024-01-01
9450-TRJUU,No,2024-01-01
8434-VGEQQ,No,2024-01-01
6923-JHPMP,No,2024-01-01
1894-IGFSG,Yes,2024-01-01
7521-AFHAB,No,2024-01-01
1450-GALXR,Yes,2024-01-01
5318-YKDPV,No,2024-01-01
0392-BZIUW,No,2024-01-01
9777-IQHWP,No,2024-01-01
3523-BRGUW,No,2024-01-01
9734-YWGEX,Yes,2024-01-01
8942-DBMHZ,No,2024-01-01
0811-GSDTP,No,2024-01-01
4378-BZYFP,No,2024-01-01
1106-HRLKZ,No,2024-01-01
1989-PRJHP,Yes,2024-01-01
3422-WJOYD,No,2024-01-01
1915-OAKWD,No,2024-01-01
4829-ZLJTK,No,2024-01-01
1751-NCDLI,No,2024-01-01
4712-UYOOI,No,2024-01-01
3696-XRIEN,No,2024-01-01
1641-BYBTK,No,2024-01-01
5868-CZJDR,Yes,2024-01-01
8399-YNDCH,Yes,2024-01-01
6789-HJBWG,No,2024-01-01
3055-MJDSB,No,2024-01-01
0096-FCPUF,No,2024-01-01
4741-WWJQZ,No,2024-01-01
9531-NSBMR,No,2024-01-01
9795-SHUHB,No,2024-01-01
3161-ONRWK,No,2024-01-01
9269-CQOOL,Yes,2024-01-01
3249-ZPQRG,Yes,2024-01-01
3717-OEAUQ,No,2024-01-01
5419-CONWX,Yes,2024-01-01
5357-TZHPP,Yes,2024-01-01
2480-EJWYP,No,2024-01-01
6234-PFPXL,No,2024-01-01
9242-TKFSV,No,2024-01-01
5014-GSOUQ,No,2024-01-01
9207-ZPANB,No,2024-01-01
2429-AYKKO,No,2024-01-01
1157-BQCUW,Yes,2024-01-01
2782-JEEBU,No,2024-01-01
2927-QRRQV,No,2024-01-01
6352-TWCAU,Yes,2024-01-01
5980-BDHPY,No,2024-01-01
3761-FLYZI,No,2024-01-01
4836-WNFNO,No,2024-01-01
6097-EQISJ,Yes,2024-01-01
4116-TZAQJ,Yes,2024-01-01
0106-GHRQR,No,2024-01-01
5356-KZCKT,No,2024-01-01
2519-LBNQL,No,2024-01-01
2178-PMGCJ,No,2024-01-01
3536-IQCTX,Yes,2024-01-01
8958-JPTRR,No,2024-01-01
7054-LGEQW,Yes,2024-01-01
4524-QCSSM,No,2024-01-01
5777-ZPQNC,No,2024-01-01
6732-VAILE,No,2024-01-01
9261-WDCAF,No,2024-01-01
4445-KWOKW,No,2024-01-01
0348-SDKOL,Yes,2024-01-01
3977-QCRSL,No,2024-01-01
0181-RITDD,No,2024-01-01
3546-GHEAE,No,2024-01-01
4958-GZWIY,Yes,2024-01-01
5934-TSSAU,No,2024-01-01
2153-MREFK,Yes,2024-01-01
0673-IGUQO,No,2024-01-01
6648-INWPS,No,2024-01-01
5159-YFPKQ,Yes,2024-01-01
1136-XGEQU,No,2024-01-01
7951-VRDVK,No,2024-01-01
8619-IJNDK,No,2024-01-01
2908-WGAXL,No,2024-01-01
3126-WQMGH,No,2024-01-01
9578-VRMNM,Yes,2024-01-01
4813-HQMGZ,No,2024-01-01
9776-OJUZI,No,2024-01-01
4304-TSPVK,No,2024-01-01
5103-MHMHY,Yes,2024-01-01
7649-PHJVR,No,2024-01-01
1089-HDMKP,No,2024-01-01
3893-JRNFS,No,2024-01-01
9050-IKDZA,No,2024-01-01
7706-YLMQA,No,2024-01-01
6614-YWYSC,No,2024-01-01
6585-WCEWR,No,2024-01-01
5373-SFODM,Yes,2024-01-01
0739-UUAJR,No,2024-01-01
3230-JCNZS,No,2024-01-01
0380-ZCSBI,No,2024-01-01
7730-CLDSV,No,2024-01-01
8766-PAFNE,No,2024-01-01
8250-ZNGGW,No,2024-01-01
8780-YRMTT,No,2024-01-01
9674-EHPPG,No,2024-01-01
1697-LYYYX,No,2024-01-01
8225-BTJAU,Yes,2024-01-01
1724-BQUHA,Yes,2024-01-01
2408-WITXK,Yes,2024-01-01
5533-NHFRF,No,2024-01-01
1017-FBQMM,No,2024-01-01
4102-OQUPX,Yes,2024-01-01
9743-DQKQW,No,2024-01-01
2004-OCQXK,Yes,2024-01-01
4003-OCTMP,No,2024-01-01
7765-LWVVH,No,2024-01-01
0564-JJHGS,Yes,2024-01-01
6176-YJWAS,No,2024-01-01
6898-MDLZW,No,2024-01-01
0397-ZXWQF,No,2024-01-01
4568-TTZRT,No,2024-01-01
6377-KSLXC,No,2024-01-01
1406-PUQVY,No,2024-01-01
8118-LSUEL,Yes,2024-01-01
6376-GAHQE,Yes,2024-01-01
1867-TJHTS,No,2024-01-01
8679-JOEVF,Yes,2024-01-01
5649-ANRML,Yes,2024-01-01
1345-ZUKID,No,2024-01-01
1265-ZFOSD,No,2024-01-01
4717-GHADL,No,2024-01-01
5960-MVTUK,No,2024-01-01
3148-BLQJT,Yes,2024-01-01
2378-YIZKA,No,2024-01-01
6322-PJJDJ,No,2024-01-01
2636-ALXXZ,Yes,2024-01-01
3913-RDSJZ,No,2024-01-01
1125-SNVCK,No,2024-01-01
8659-HDIYE,No,2024-01-01
8879-ZKJOF,No,2024-01-01
4299-OPXEJ,No,2024-01-01
6719-FGEDO,No,2024-01-01
4086-ATNFV,No,2024-01-01
8400-WZICQ,No,2024-01-01
7339-POGZN,No,2024-01-01
8295-KMENE,No,2024-01-01
2550-AEVRU,No,2024-01-01
1530-ZTDOZ,No,2024-01-01
5998-VVEJY,Yes,2024-01-01
7860-UXCRM,No,2024-01-01
1552-CZCLL,No,2024-01-01
