customerID,Churn,snapdate
8191-XWSZG,No,2023-07-01
6047-YHPVI,Yes,2023-07-01
8769-KKTPH,No,2023-07-01
6416-JNVRK,No,2023-07-01
9803-FTJCG,No,2023-07-01
9560-BBZXK,No,2023-07-01
7850-VWJUU,No,2023-07-01
9167-APMXZ,No,2023-07-01
2656-FMOKZ,Yes,2023-07-01
9178-JHUVJ,No,2023-07-01
9286-BHDQG,No,2023-07-01
0621-JFHOL,No,2023-07-01
7017-VFHAY,No,2023-07-01
4484-GLZOU,Yes,2023-07-01
6556-DBKZF,No,2023-07-01
3973-SKMLN,No,2023-07-01
6680-NENYN,Yes,2023-07-01
3351-NGXYI,No,2023-07-01
6158-HDPXZ,No,2023-07-01
0177-PXBAT,No,2023-07-01
4686-GEFRM,No,2023-07-01
4980-URKXC,No,2023-07-01
5149-CUZUJ,No,2023-07-01
3780-DDGSE,No,2023-07-01
4134-BSXLX,No,2023-07-01
3482-ABPKK,No,2023-07-01
0621-HJWXJ,No,2023-07-01
2654-VBVPB,No,2023-07-01
5150-LJNSR,No,2023-07-01
8208-EUMTE,No,2023-07-01
6464-KEXXH,No,2023-07-01
7954-MLBUN,No,2023-07-01
8100-PNJMH,No,2023-07-01
2324-AALNO,No,2023-07-01
0078-XZMHT,No,2023-07-01
0114-IGABW,No,2023-07-01
6647-ZEDXT,No,2023-07-01
5730-DBDSI,No,2023-07-01
9505-SQFSW,No,2023-07-01
2040-OBMLJ,No,2023-07-01
6275-YDUVO,Yes,2023-07-01
8184-WMOFI,No,2023-07-01
8374-UULRV,No,2023-07-01
0207-MDKNV,Yes,2023-07-01
8975-SKGRX,No,2023-07-01
3956-CJUST,No,2023-07-01
5709-LVOEQ,No,2023-07-01
3261-CQXOL,No,2023-07-01
5875-YPQFJ,Yes,2023-07-01
6641-XRPSU,Yes,2023-07-01
7649-SIJJF,No,2023-07-01
6445-TNRXS,No,2023-07-01
6941-PMGEP,Yes,2023-07-01
4121-AGSIN,No,2023-07-01
4646-QZXTF,No,2023-07-01
8461-EFQYM,No,2023-07-01
6621-NRZAK,No,2023-07-01
0621-CXBKL,No,2023-07-01
3992-YWPKO,Yes,2023-07-01
0455-ENTCR,No,2023-07-01
0040-HALCW,No,2023-07-01
5835-BEQEU,Yes,2023-07-01
2226-ICFDO,No,2023-07-01
7005-CYUIL,No,2023-07-01
6729-GDNGC,No,2023-07-01
9788-YTFGE,No,2023-07-01
3733-LSYCE,No,2023-07-01
0196-JTUQI,No,2023-07-01
3164-AALRN,Yes,2023-07-01
9518-RWHZL,Yes,2023-07-01
4859-ZSRDZ,No,2023-07-01
9546-CQJSU,Yes,2023-07-01
3473-XIIIT,Yes,2023-07-01
5067-DGXLL,No,2023-07-01
3195-TQDZX,No,2023-07-01
6198-RTPMF,No,2023-07-01
2882-WDTBA,No,2023-07-01
3186-BAXNB,Yes,2023-07-01
0993-OSGPT,No,2023-07-01
7321-VGNKU,No,2023-07-01
6518-PPLMZ,No,2023-07-01
1371-OJCEK,No,2023-07-01
8189-HBVRW,No,2023-07-01
0793-TWELN,No,2023-07-01
8593-WHYHV,Yes,2023-07-01
5515-RUGKN,No,2023-07-01
7551-JOHTI,Yes,2023-07-01
0134-XWXCE,No,2023-07-01
5605-XNWEN,No,2023-07-01
2474-LCNUE,No,2023-07-01
1663-MHLHE,No,2023-07-01
6365-MTGZX,Yes,2023-07-01
4510-PYUSH,Yes,2023-07-01
3946-JEWRQ,No,2023-07-01
7459-IMVYU,No,2023-07-01
4720-VSTSI,Yes,2023-07-01
2239-CGBUZ,No,2023-07-01
0019-EFAEP,No,2023-07-01
9497-QCMMS,Yes,2023-07-01
9993-LHIEB,No,2023-07-01
8861-HGGKB,Yes,2023-07-01
8775-ERLNB,No,2023-07-01
4138-NAXED,No,2023-07-01
7228-PAQPD,No,2023-07-01
0761-AETCS,Yes,2023-07-01
4349-GFQHK,Yes,2023-07-01
1379-FRVEB,No,2023-07-01
2737-YNGYW,Yes,2023-07-01
2626-VEEWG,No,2023-07-01
6131-IUNXN,No,2023-07-01
8495-LJDFO,No,2023-07-01
3420-ZDBMA,No,2023-07-01
4957-TIALW,No,2023-07-01
9168-INPSZ,No,2023-07-01
4706-DGAHW,No,2023-07-01
9367-OIUXP,No,2023-07-01
3211-ILJTT,Yes,2023-07-01
3450-WXOAT,No,2023-07-01
9314-QDMDW,No,2023-07-01
4083-BFNYK,No,2023-07-01
8982-NHAVY,No,2023-07-01
6360-SVNWV,No,2023-07-01
5968-HYJRZ,No,2023-07-01
9135-MGVPY,No,2023-07-01
2333-KWEWW,No,2023-07-01
8245-UMPYT,Yes,2023-07-01
0203-HHYIJ,Yes,2023-07-01
8868-GAGIO,No,2023-07-01
1074-AMIOH,No,2023-07-01
5837-LXSDN,No,2023-07-01
7593-JNWRU,Yes,2023-07-01
0907-HQNTS,No,2023-07-01
4328-VUFWD,No,2023-07-01
1872-EBWSC,No,2023-07-01
5472-CVMDX,No,2023-07-01
7883-ROJOC,No,2023-07-01
0924-BJCRC,No,2023-07-01
5624-BQSSA,Yes,2023-07-01
7503-QQRVF,Yes,2023-07-01
0058-EVZWM,No,2023-07-01
0536-ACXIP,No,2023-07-01
6988-CJEYV,No,2023-07-01
2740-TVLFN,No,2023-07-01
6746-WAUWT,No,2023-07-01
9522-ZSINC,No,2023-07-01
4139-JPIAM,No,2023-07-01
3352-ALMCK,No,2023-07-01
5649-RXQTV,No,2023-07-01
4830-FAXFM,No,2023-07-01
6620-JDYNW,No,2023-07-01
4484-CGXFK,Yes,2023-07-01
4702-HDRKD,No,2023-07-01
0263-FJTQO,No,2023-07-01
4250-FDVOU,Yes,2023-07-01
3911-RSNHI,No,2023-07-01
9391-DXGGG,No,2023-07-01
3884-HCSWG,Yes,2023-07-01
9467-ROOLM,No,2023-07-01
5044-XDPYX,No,2023-07-01
4393-OBCRR,No,2023-07-01
7250-EQKIY,Yes,2023-07-01
5402-HTOTQ,No,2023-07-01
7711-YIJWC,No,2023-07-01
4210-QFJMF,Yes,2023-07-01
2229-VWQJH,No,2023-07-01
9139-TWBAS,No,2023-07-01
8380-MQINP,No,2023-07-01
2235-ZGKPT,Yes,2023-07-01
9629-NHXFW,No,2023-07-01
5578-NKCXI,No,2023-07-01
0603-OLQDC,No,2023-07-01
0428-AXXLJ,No,2023-07-01
0436-TWFFZ,No,2023-07-01
3756-VNWDH,No,2023-07-01
5201-FRKKS,No,2023-07-01
7587-RZNME,Yes,2023-07-01
2254-DLXRI,No,2023-07-01
0895-LNKRC,No,2023-07-01
2560-QTSBS,No,2023-07-01
3656-TKRVZ,Yes,2023-07-01
8707-RMEZH,No,2023-07-01
6319-QSUSR,No,2023-07-01
4039-PIMHX,No,2023-07-01
2364-UFROM,No,2023-07-01
3144-AUDBS,Yes,2023-07-01
6688-UZPWD,Yes,2023-07-01
2926-JEJJC,No,2023-07-01
9136-ALYBR,Yes,2023-07-01
6968-URWQU,No,2023-07-01
8614-VGMMV,Yes,2023-07-01
4304-XUMGI,No,2023-07-01
6872-HXFNF,No,2023-07-01
6710-HSJRD,No,2023-07-01
7392-YYPYJ,No,2023-07-01
8590-OHDIW,No,2023-07-01
5600-KTXFM,No,2023-07-01
0701-TJSEF,No,2023-07-01
4587-VVTOX,Yes,2023-07-01
5261-QSHQM,Yes,2023-07-01
1395-WSWXR,No,2023-07-01
7754-IXRMC,No,2023-07-01
4054-CUMIA,No,2023-07-01
3329-WDIOK,Yes,2023-07-01
1325-USMEC,No,2023-07-01
0829-XXPLX,No,2023-07-01
2466-FCCPT,No,2023-07-01
3079-BCHLN,No,2023-07-01
2465-BLLEU,No,2023-07-01
4685-TFLLS,No,2023-07-01
6963-KQYQB,No,2023-07-01
2990-IAJSV,No,2023-07-01
2542-HYGIQ,No,2023-07-01
8207-VVMYB,No,2023-07-01
1226-UDFZR,Yes,2023-07-01
4489-SNOJF,Yes,2023-07-01
8413-YNHNV,No,2023-07-01
3244-CQPHU,No,2023-07-01
3806-YAZOV,No,2023-07-01
0853-NWIFK,No,2023-07-01
0023-HGHWL,Yes,2023-07-01
6217-TOWGS,No,2023-07-01
3639-XJHKQ,No,2023-07-01
1619-YWUBB,No,2023-07-01
7434-SHXLS,Yes,2023-07-01
9489-JMTTN,No,2023-07-01
4077-HWUYD,No,2023-07-01
3428-XZMAZ,Yes,2023-07-01
3750-CKVKH,Yes,2023-07-01
3181-MIZBN,No,2023-07-01
2432-TFSMK,No,2023-07-01
4338-EYCER,No,2023-07-01
1269-FOYWN,No,2023-07-01
9800-ONTFE,No,2023-07-01
3011-WQKSZ,No,2023-07-01
9128-CPXKI,No,2023-07-01
5176-OLSKT,No,2023-07-01
3050-RLLXC,No,2023-07-01
9518-IMLHK,No,2023-07-01
0018-NYROU,No,2023-07-01
3807-BPOMJ,No,2023-07-01
5906-DVAPM,No,2023-07-01
0584-BJQGZ,No,2023-07-01
8714-EUHJO,Yes,2023-07-01
