customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore
4183-MYFRB,No,2023-12-01,Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,90.05,262.87,8.0,2.0
8168-UQWWF,Yes,2023-12-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,female,0.0,No,No,Bachelor,1.0,Retired,>150k,97.85,301.45,6.0,1.0
5954-BDFSG,No,2023-12-01,Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic, No  ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,female,0.0,No,No,Bachelor,1.0,Retired,>150k,107.5,362.38,3.0,3.0
3887-PBQAO,No,2023-12-01,One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,female,0.0,Yes,Yes,College,4.0,Self-employed,60–100k,25.9,46.2,0.0,3.0
4598-XLKNJ,Yes,2023-12-01,Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,female,1.0,Yes,No,College,2.0,Retired,100–150k,98.5,268.72,0.0,2.0
0390-DCFDQ,Yes,2023-12-01,Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,Yes,female,1.0,Yes,No,College,3.0,Retired,100–150k,70.45,162.23,2.0,3.0
7554-NEWDD,No,2023-12-01,Two year,No,Bank transfer (automatic),Yes,Quarter,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,male,0.0,No,No,College,2.0,Self-employed,60–100k,25.7,77.99,0.0,3.0
3712-PKXZA,No,2023-12-01,One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,male,0.0,Yes,No,College,2.0,Self-employed,60–100k,20.55,44.19,2.0,2.0
3645-DEYGF,No,2023-12-01,Month-to-month,No,Mailed check,Yes,Monthly,No,No,Yes,No,No,No internet service,no,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,male,0.0,No,Yes,College,1.0,Employed,60–100k,20.75,67.73,0.0,2.0
9227-UAQFT,No,2023-12-01,Two year,No,Mailed check,No,Monthly,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,male,0.0,No,No,College,1.0,Employed,60–100k,19.75,0.0,0.0,3.0
