gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,customerID
female,0.0,Yes,No,College,3.0,Self-employed,60–100k,7590-VHVEG
male,0.0,No,No,College,2.0,Self-employed,100–150k,5575-GNVDE
male,0.0,No,No,College,1.0,Self-employed,60–100k,3668-QPYBK
male,0.0,No,No,College,3.0,Self-employed,60–100k,7795-CFOCW
female,0.0,No,No,Bachelor,,Self-employed,>150k,9237-HQITU
female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,9305-CDSKC
male,0.0,No,Yes,Bachelor,2.0,Retired,>150k,1452-KIOVK
female,0.0,No,No,College,1.0,Employed,60–100k,6713-OKOMC
female,0.0,Yes,No,Bachelor,3.0,Retired,>150k,7892-POOKP
male,0.0,No,Yes,College,1.0,Self-employed,60–100k,6388-TABGU
male,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,9763-GRSKD
male,0.0,No,No,College,2.0,Self-employed,60–100k,7469-LKBCI
male,0.0,Yes,No,Bachelor,3.0,Self-employed,>150k,8091-TTVAX
male,0.0,No,No,Bachelor,3.0,Retired,>150k,0280-XJGEX
male,0.0,No,No,Bachelor,1.0,Retired,>150k,5129-JLPIS
female,0.0,Yes,Yes,Bachelor,3.0,Retired,>150k,3655-SNQYZ
female,,No,No,College,1.0,Employed,60–100k,8191-XWSZG
male,0.0,No,Yes,Bachelor,4.0,Self-employed,>150k,9959-WOFKT
female,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,4190-MFLUW
female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,4183-MYFRB
male,1.0,No,No,HighSchool,1.0,Retired,60–100k,8779-QRDMV
male,0.0,Yes,No,College,2.0,Self-employed,60–100k,1680-VDCWW
male,0.0,No,No,College,1.0,Employed,60–100k,1066-JKSGK
female,0.0,Yes,No,College,2.0,Self-employed,100–150k,3638-WEABW
male,0.0,Yes,Yes,College,3.0,Self-employed,100–150k,6322-HRPFA
female,0.0,No,No,College,1.0,Self-employed,60–100k,6865-JZNKO
male,0.0,Yes,Yes,Bachelor,2.0,Self-employed,>150k,6467-CHFZW
male,0.0,Yes,Yes,College,4.0,Employed,60–100k,8665-UTDHZ
male,0.0,Yes,No,College,2.0,Retired,100–150k,5248-YGIJN
female,0.0,No,Yes,College,2.0,Self-employed,100–150k,8773-HHUOZ
female,1.0,Yes,No,College,2.0,Retired,100–150k,3841-NFECX
male,1.0,Yes,No,College,2.0,Retired,100–150k,4929-XIHVW
female,0.0,Yes,Yes,College,5.0,Self-employed,100–150k,6827-IEAUQ
male,0.0,No,No,College,1.0,Self-employed,60–100k,7310-EGVHZ
male,1.0,No,No,HighSchool,,Retired,60–100k,3413-BMNZE
female,0.0,Yes,Yes,Bachelor,2.0,Self-employed,>150k,6234-RAAPL
male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,6047-YHPVI
female,0.0,No,No,Bachelor,1.0,Retired,>150k,6572-ADKRS
male,0.0,No,No,Bachelor,1.0,Retired,>150k,5380-WJKOV
female,0.0,No,No,Bachelor,1.0,Retired,>150k,8168-UQWWF
male,0.0,Yes,Yes,College,4.0,Employed,60–100k,8865-TNMNX
female,0.0,Yes,Yes,College,3.0,Retired,100–150k,9489-DEDVP
female,0.0,Yes,Yes,College,2.0,Employed,60–100k,9867-JCZSP
female,0.0,No,No,College,1.0,Retired,100–150k,4671-VJLCL
female,0.0,Yes,No,College,2.0,Self-employed,100–150k,4080-IIARD
female,0.0,No,No,Bachelor,1.0,Self-employed,>150k,3714-NTNFO
