MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore,customerID
29.85,122.91,2,3.0,7590-VHVEG
56.95,171.82,2,2.0,5575-GNVDE
53.85,104.87,0,2.0,3668-QPYBK
42.3,108.56,5,3.0,7795-CFOCW
70.7,247.31,0,3.0,9237-HQITU
99.65,319.94,4,ORPH-694b06ff,9305-CDSKC
89.1,341.15,3,2.0,1452-KIOVK
29.75,102.77,3,2.0,UNK-eb346ca8
104.8,401.13,0,2.0,7892-POOKP
56.15,114.69,2,3.0,6388-TABGU
49.95,201.23,2,2.0,9763-GRSKD
18.95,47.12,0,2.0,7469-LKBCI
100.35,367.25,1,2.0,8091-TTVAX
103.7,314.52,0,2.0,0280-XJGEX
105.5,354.45,3,2.0,5129-JLPIS
113.25,388.69,3,2.0,3655-SNQYZ
20.65,0.0,0,3.0,8191-XWSZG
106.7,295.3,6,2.0,9959-WOFKT
55.2,139.56,1,3.0,4190-MFLUW
90.05,262.87,8,2.0,4183-MYFRB
39.65,146.9,8,1.0,8779-QRDMV
19.8,86.66,3,UNK-150c7452,1680-VDCWW
20.15,65.58,1,2.0,1066-JKSGK
59.9,95.87,10,3.0,3638-WEABW
59.6,81.96,4,2.0,6322-HRPFA
55.3,81.93,0,2.0,6865-JZNKO
,351.07,5,2.0,6467-CHFZW
30.2,175.33,2,1.0,8665-UTDHZ
90.25,163.52,5,4.0,5248-YGIJN
64.7,235.48,0,2.0,8773-HHUOZ
96.35,208.73,7,2.0,3841-NFECX
95.5,275.54,6,1.0,4929-XIHVW
66.15,111.51,8,2.0,6827-IEAUQ
20.2,75.41,0,3.0,7310-EGVHZ
45.25,91.2,1,ORPH-7d062147,3413-BMNZE
99.9,261.91,4,2.0,6234-RAAPL
69.7,275.04,1,2.0,6047-YHPVI
74.8,265.63,0,3.0,6572-ADKRS
106.35,352.26,0,2.0,5380-WJKOV
97.85,301.45,6,1.0,8168-UQWWF
49.55,112.9,9,2.0,8865-TNMNX
69.2,180.24,2,2.0,9489-DEDVP
20.75,19.97,1,2.0,9867-JCZSP
79.85,191.57,5,3.0,4671-VJLCL
76.2,147.71,6,3.0,4080-IIARD
84.5,318.35,0,2.0,3714-NTNFO
49.25,164.83,3,2.0,5948-UJZLF
80.65,328.57,5,2.0,7760-OYPDY
79.75,259.77,10,3.0,7639-LIAYI
64.15,154.14,4,3.0,2954-PIBKO
90.25,197.19,5,2.0,8012-SOUDQ
99.1,,0,1.0,9420-LOJKX
69.5,101.98,5,2.0,6575-SUVOI
80.65,246.35,0,2.0,7495-OOKFY
74.85,153.93,10,2.0,4667-QONEA
95.45,291.5,0,1.0,1658-BYGOY
99.65,397.27,4,2.0,8769-KKTPH
108.45,300.52,0,3.0,5067-XJQFU
24.95,0.0,2,2.0,3957-SQXML
107.5,362.38,3,3.0,5954-BDFSG
100.5,375.39,0,2.0,0434-CSFON
89.9,336.93,5,2.0,1215-FIGMP
42.1,130.41,3,2.0,0526-SXDJP
54.4,132.88,7,3.0,0557-ASKVU
94.4,353.3,2,2.0,5698-BQJOH
75.3,236.05,0,2.0,5122-CYFXA
78.9,266.11,2,2.0,8627-ZYGSZ
79.2,277.76,7,UNK-d5e9de5d,nan
20.15,0.0,0,3.0,3170-NMYVV
79.85,247.21,,1.0,7410-OIEDU
49.05,65.92,4,2.0,2273-QCKXA
20.4,36.34,4,3.0,0731-EBJQB
111.6,277.1,4,2.0,1891-QRQSA
24.25,5.39,0,3.0,8028-PNXHQ
64.5,185.85,2,3.0,5630-AHZIL
110.5,237.04,3,1.0,2673-CXQEU
55.65,173.5,6,1.0,6416-JNVRK
54.65,86.26,1,3.0,5590-ZSKRV
74.75,168.73,0,2.0,0191-ZHSKZ
25.9,46.2,0,3.0,3887-PBQAO
79.35,312.8,1,1.0,5919-TMRGD
50.55,200.88,6,1.0,8108-UXRQN
75.15,253.69,0,2.0,9191-MYQKX
103.8,355.78,1,3.0,9919-YLNNG
20.15,0.0,5,2.0,0318-ZOPWS
99.3,374.19,3,2.0,4445-ZJNMU
62.15,174.79,4,3.0,4808-YNLEU
20.65,73.35,0,3.0,1862-QRWPE
19.95,31.14,0,4.0,2796-NNUFI
33.75,154.96,6,2.0,3016-KSVCP
82.05,303.1,0,2.0,4767-HZZHQ
74.7,185.36,1,3.0,2424-WVHPL
84.0,232.66,6,3.0,7233-PAHHL
111.05,323.8,4,1.0,6067-NGCEU
100.9,387.84,4,2.0,9848-JQJTX
78.95,251.45,0,3.0,8637-XJIVR
66.85,87.53,4,3.0,9803-FTJCG
21.05,33.07,0,3.0,0278-YXOOG
21.0,0.0,0,3.0,3212-KXOCR
98.5,268.72,0,2.0,4598-XLKNJ
20.2,0.0,0,2.0,6380-ARCEH
19.45,0.0,2,2.0,3679-XASPY
95.0,246.82,3,2.0,7123-WQUHX
45.55,164.91,0,3.0,5386-THSLQ
110.0,354.63,5,2.0,3192-NQECA
24.3,97.45,0,2.0,6180-YBIQI
104.15,333.05,4,2.0,6728-DKUCO
30.15,76.68,4,2.0,9750-BOOHV
94.35,365.06,8,2.0,8597-CWYHH
19.4,0.0,7,3.0,2848-YXSMW
96.75,341.39,2,3.0,0486-HECZI
57.95,114.78,3,4.0,4549-ZDQYY
91.65,334.13,4,3.0,5712-AHQNN
76.5,156.66,0,1.0,4846-WHAFZ
54.6,271.98,0,3.0,5256-SKJGO
89.85,284.04,,2.0,UNK-5a714e94
31.05,115.88,4,4.0,9560-BBZXK
100.25,363.88,2,1.0,5299-RULOA
20.65,14.44,4,3.0,8402-OOOHJ
85.2,276.79,1,3.0,9445-ZUEQE
99.8,362.79,3,2.0,1091-SOZGA
20.7,15.1,0,,2928-HLDBA
74.4,281.09,4,2.0,0404-SWRVG
50.7,105.42,7,3.0,6497-TILVL
20.85,,0,3.0,7219-TLZHO
88.95,365.0,2,3.0,4622-YNKIJ
78.05,129.17,0,3.0,4412-YLTKF
23.55,87.05,3,3.0,6734-PSBAW
,10.18,1,4.0,3930-ZGWVE
56.45,151.7,0,,2639-UGMAZ
85.95,275.69,8,3.0,2876-GZYZC
58.6,244.18,3,2.0,6207-WIOLX
50.55,138.45,4,4.0,8587-XYZSF
35.45,150.58,0,ORPH-40b5882e,3091-FYHKI
44.35,130.25,11,2.0,2372-HWUHI
25.7,30.57,0,3.0,7799-LGRDP
75.0,206.93,5,1.0,7850-VWJUU
20.2,62.44,4,3.0,3774-VBNXY
19.6,0.0,0,4.0,6217-KDYWC
70.45,162.23,2,3.0,0390-DCFDQ
88.05,188.35,5,unknown,3146-MSEGF
71.15,234.8,6,2.0,4080-OGPJL
101.05,350.0,8,1.0,1095-WGNGG
84.3,264.55,1,,2636-SJDOU
23.95,32.9,0,3.0,1131-QQZEB
99.05,325.83,3,3.0,5716-EZXZN
19.6,43.58,0,3.0,6837-BJYDQ
45.65,112.19,0,3.0,2135-RXIHG
64.5,161.04,2,3.0,6440-DKQGE
69.5,199.72,5,1.0,3466-BYAVD
68.55,232.69,3,2.0,3780-YVMFA
95.0,397.22,0,,3874-EQOEP
108.15,354.44,4,3.0,1679-JRFBR
86.1,189.42,8,2.0,9073-ZZIAY
19.7,,3,2.0,3077-RSNTJ
80.9,341.79,4,2.0,6551-GNYDG
