PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,customerID
No,No phone service,DSL,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,7590-VHVEG
Yes,No,DSL,Yes,,Yes,No,No,No,Yes,Yes,YES ,No,5575-GNVDE
Yes,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,No,3668-QPYBK
No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No,Yes,No,No,7795-CFOCW
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,No,9237-HQITU
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,9305-CDSKC
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,No,No,1452-KIOVK
No,No phone service,DSL,Yes,No,No,No,No,No,Yes,No,No,No,6713-OKOMC
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7892-POOKP
Yes,No,DSL,Yes,Yes,No,No,No,No,,No,No,No,6388-TABGU
Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,No,9763-GRSKD
Yes,No,No,,No internet service,No internet service,No internet service, No internet service  ,No internet service,YeW,Yes,Yes,Yes,7469-LKBCI
Yes,Yes,Fiber optic,No,No,Yes,No, Yes  ,Yes,Yes,Yes,No,No,8091-TTVAX
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,0280-XJGEX
Yes,No,Fiber optic,Yes, No  ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5129-JLPIS
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3655-SNQYZ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,No,Yes,No,8191-XWSZG
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,9959-WOFKT
Yes,No,DSL,No,No,Yes,Yes,No,No,No,NO ,Yes,Yes,4190-MFLUW
Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,4183-MYFRB
No,No phone service,DSL,No,No,Yes,No,,Yes,No,Yes,No,Yes,8779-QRDMV
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,1680-VDCWW
Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,No,1066-JKSGK
Yes,Yes,DSL,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,3638-WEABW
Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,6322-HRPFA
Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,6865-JZNKO
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,6467-CHFZW
No,No phone service,DSL,No,Yes,No,No,No,No,Yes,Yes,Yes,No,8665-UTDHZ
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5248-YGIJN
Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,No,No,Yes,8773-HHUOZ
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,3841-NFECX
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,4929-XIHVW
Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,ORPH-d05c922e
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,7310-EGVHZ
Yes,No,DSL,No,No,No,No,No,No,Yes,No,Yes,No,3413-BMNZE
Yes,Yes,,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,6234-RAAPL
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,Yes,6047-YHPVI
Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,No,No,6572-ADKRS
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,,No,Yes,5380-WJKOV
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,8168-UQWWF
Yes,No,DSL,No,Yes,No,No,No,No,Yes,No,Yes,Yes,8865-TNMNX
Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,9489-DEDVP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,, Yes  ,No,9867-JCZSP
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,4671-VJLCL
Yes,Yes,DSL,Yes,Yes,No,Yes, Yes  ,No,Yes,No,No,Yes,4080-IIARD
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,3714-NTNFO
no,No,DSL,No,Yes,No,No,No,No,No,Yes,No,No,5948-UJZLF
Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,No,Yes,7760-OYPDY
Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,7639-LIAYI
Yes,Yes,DSL,Yes,No,Yes,Yes,No,No, Yes  ,Yes,Yes,Yes,2954-PIBKO
Yes,Yes,Fiber optic,No,Yes, No  ,No,Yes,No,Yes,No,Yes,Yes,8012-SOUDQ
Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,9420-LOJKX
Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,Yes,6575-SUVOI
 Yes  ,Yes,Fiber optic,No,Yes,No,No,YES ,No,Yes,Yes,Yes,No,7495-OOKFY
Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes, No  ,No,Yes,4667-QONEA
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,1658-BYGOY
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,8769-KKTPH
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5067-XJQFU
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,3957-SQXML
Yes,Yes,Fiber optic, No  ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5954-BDFSG
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,0434-CSFON
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,1215-FIGMP
No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No,Yes,No,No,0526-SXDJP
Yes,No,DSL,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,0557-ASKVU
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,5698-BQJOH
Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,5122-CYFXA
Yes,Yes,Fiber optic,No,Yes,No,No,,No,No,Yes,Yes,Yes,8627-ZYGSZ
Yes,YES ,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3410-YOQBQ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,3170-NMYVV
