customerID,Churn,snapdate
9237-HQITU,Yes,2023-05-01
6322-HRPFA,No,2023-05-01
4080-IIARD,No,2023-05-01
5698-BQJOH,Yes,2023-05-01
0318-ZOPWS,No,2023-05-01
3192-NQECA,Yes,2023-05-01
7219-TLZHO,No,2023-05-01
1131-QQZEB,No,2023-05-01
2907-ILJBN,No,2023-05-01
1918-ZBFQJ,Yes,2023-05-01
9142-KZXOP,No,2023-05-01
5961-VUSRV,No,2023-05-01
4522-AKYLR,No,2023-05-01
1950-KSVVJ,No,2023-05-01
9512-UIBFX,Yes,2023-05-01
2240-HSJQD,No,2023-05-01
8626-PTQGE,No,2023-05-01
5924-SNGKP,No,2023-05-01
3583-KRKMD,No,2023-05-01
6583-SZVGP,No,2023-05-01
5495-GPSRW,No,2023-05-01
8111-BKVDS,No,2023-05-01
1910-FMXJM,No,2023-05-01
1480-BKXGA,No,2023-05-01
5949-XIKAE,Yes,2023-05-01
5736-YEJAX,No,2023-05-01
8397-MVTAZ,Yes,2023-05-01
2817-NTQDO,Yes,2023-05-01
7319-VENRZ,No,2023-05-01
2393-DIVAI,No,2023-05-01
2731-GJRDG,No,2023-05-01
1009-IRMNA,Yes,2023-05-01
8404-VLQFB,No,2023-05-01
8755-OGKNA,No,2023-05-01
8040-MNRTF,No,2023-05-01
1456-TWCGB,No,2023-05-01
5244-IRFIH,Yes,2023-05-01
1635-FJFCC,No,2023-05-01
7969-FFOWG,No,2023-05-01
5125-CNDSP,No,2023-05-01
3138-BKYAV,Yes,2023-05-01
4335-BSMJS,No,2023-05-01
3027-ZTDHO,Yes,2023-05-01
4124-MMETB,Yes,2023-05-01
5170-PTRKA,No,2023-05-01
0379-DJQHR,No,2023-05-01
4824-GUCBY,No,2023-05-01
6353-BRMMA,No,2023-05-01
9117-SHLZX,Yes,2023-05-01
8165-ZJRNM,No,2023-05-01
7047-YXDMZ,No,2023-05-01
7147-AYBAA,No,2023-05-01
3354-OADJP,No,2023-05-01
3800-LYTRK,No,2023-05-01
9170-ARBTB,No,2023-05-01
8717-VCTXJ,No,2023-05-01
8791-GFXLZ,No,2023-05-01
0841-NULXI,Yes,2023-05-01
4782-OSFXZ,No,2023-05-01
4660-IRIBM,No,2023-05-01
6791-YBNAK,No,2023-05-01
3165-HDOEW,Yes,2023-05-01
2223-KAGMX,Yes,2023-05-01
6244-BESBM,No,2023-05-01
8711-LOBKY,No,2023-05-01
8519-IMDHU,Yes,2023-05-01
0031-PVLZI,Yes,2023-05-01
0536-BGFMZ,No,2023-05-01
1084-MNSMJ,No,2023-05-01
4704-ERYFC,Yes,2023-05-01
1970-KKFWL,No,2023-05-01
7560-QRBXH,No,2023-05-01
5514-YQENT,No,2023-05-01
4283-IVYCI,No,2023-05-01
2277-BKJKN,No,2023-05-01
1769-GRUIK,No,2023-05-01
1656-DRSMG,No,2023-05-01
3794-NFNCH,No,2023-05-01
2660-EMUBI,Yes,2023-05-01
9906-NHHVC,No,2023-05-01
6265-SXWBU,No,2023-05-01
2929-QNSRW,Yes,2023-05-01
3331-HQDTW,Yes,2023-05-01
4829-AUOAX,Yes,2023-05-01
4422-QVIJA,No,2023-05-01
0107-YHINA,Yes,2023-05-01
7398-SKNQZ,No,2023-05-01
8952-WCVCD,No,2023-05-01
3902-MIVLE,No,2023-05-01
5687-DKDTV,Yes,2023-05-01
6016-LVTJQ,No,2023-05-01
0794-YVSGE,No,2023-05-01
1265-HVPZB,No,2023-05-01
7105-MXJLL,No,2023-05-01
2039-JONDJ,No,2023-05-01
3143-ILDAL,Yes,2023-05-01
1845-CSBRZ,No,2023-05-01
0420-BWTPW,Yes,2023-05-01
2430-RRYUW,No,2023-05-01
4373-MAVJG,Yes,2023-05-01
8565-CLBZW,Yes,2023-05-01
8272-ONJLV,No,2023-05-01
2550-QHZGP,No,2023-05-01
7061-OVMIM,No,2023-05-01
1084-UQCHV,Yes,2023-05-01
3106-ULWFW,Yes,2023-05-01
7802-EFKNY,Yes,2023-05-01
1763-WQFUK,No,2023-05-01
5453-YBTWV,No,2023-05-01
4695-WJZUE,Yes,2023-05-01
2659-VXMWZ,Yes,2023-05-01
2528-HFYZX,Yes,2023-05-01
0866-QLSIR,Yes,2023-05-01
7176-WRTNX,No,2023-05-01
8963-JLGJT,No,2023-05-01
8402-EIVQS,No,2023-05-01
2774-LVQUS,Yes,2023-05-01
9796-MVYXX,No,2023-05-01
4559-UWIHT,No,2023-05-01
2573-GYRUU,No,2023-05-01
5197-PYEPU,No,2023-05-01
5236-PERKL,Yes,2023-05-01
1254-IZEYF,Yes,2023-05-01
2609-IAICY,Yes,2023-05-01
6476-EPYZR,No,2023-05-01
8433-WXGNA,Yes,2023-05-01
0784-ZQJZX,No,2023-05-01
7285-KLOTR,No,2023-05-01
3230-WYKIR,Yes,2023-05-01
3969-JQABI,No,2023-05-01
6481-ESCNL,No,2023-05-01
0820-FNRNX,No,2023-05-01
2011-TRQYE,Yes,2023-05-01
6242-SGYTS,No,2023-05-01
5440-VHLUL,No,2023-05-01
9640-ZSLDC,No,2023-05-01
4636-TVXVG,No,2023-05-01
0815-MFZGM,No,2023-05-01
1810-MVMAI,No,2023-05-01
7295-JOMMD,Yes,2023-05-01
6158-DWPZT,Yes,2023-05-01
8857-CUPFQ,No,2023-05-01
2265-CYWIV,Yes,2023-05-01
1564-HJUVY,No,2023-05-01
5248-RPYWW,No,2023-05-01
2115-BFTIW,Yes,2023-05-01
1428-GTBJJ,Yes,2023-05-01
5311-IHLEI,No,2023-05-01
9357-UJRUN,No,2023-05-01
6765-MBQNU,No,2023-05-01
3801-HMYNL,Yes,2023-05-01
8735-NBLWT,No,2023-05-01
5692-FPTAH,Yes,2023-05-01
7855-DIWPO,No,2023-05-01
8631-XVRZL,No,2023-05-01
6860-YRJZP,No,2023-05-01
3889-VWBID,No,2023-05-01
7968-QUXNS,No,2023-05-01
2603-HVKCG,No,2023-05-01
5197-LQXXH,No,2023-05-01
6772-WFQRD,No,2023-05-01
4013-UBXWQ,Yes,2023-05-01
7966-YOTQW,No,2023-05-01
6818-DJXAA,No,2023-05-01
7586-ZATGZ,No,2023-05-01
0136-IFMYD,No,2023-05-01
5043-TRZWM,No,2023-05-01
6347-DCUIK,Yes,2023-05-01
5519-YLDGW,Yes,2023-05-01
4585-HETAI,Yes,2023-05-01
6693-DJWTY,No,2023-05-01
4112-LUEIZ,Yes,2023-05-01
3739-YBWAB,No,2023-05-01
0410-IPFTY,No,2023-05-01
2921-XWDJH,No,2023-05-01
3678-MNGZX,No,2023-05-01
4706-AXVKM,Yes,2023-05-01
8914-RBTSB,Yes,2023-05-01
7820-ZYGNY,No,2023-05-01
9552-TGUZV,No,2023-05-01
9313-CDOGY,No,2023-05-01
9544-PYPSJ,No,2023-05-01
8219-VYBVI,No,2023-05-01
6257-RJOHI,No,2023-05-01
2842-BCQGE,No,2023-05-01
4227-OJHAL,No,2023-05-01
5201-CBWYG,No,2023-05-01
9040-KZVWO,No,2023-05-01
6674-KVJHG,No,2023-05-01
4958-XCBDQ,Yes,2023-05-01
9773-PEQBZ,No,2023-05-01
6402-EJMWF,No,2023-05-01
3594-UVONA,Yes,2023-05-01
4817-VYYWS,Yes,2023-05-01
4521-YEEHE,No,2023-05-01
4803-LBYPN,No,2023-05-01
7716-YTYHG,Yes,2023-05-01
4537-CIBHB,No,2023-05-01
2632-IVXVF,No,2023-05-01
5884-FBCTL,No,2023-05-01
5803-NQJZO,No,2023-05-01
1329-VHWNP,No,2023-05-01
2126-GSEGL,No,2023-05-01
0374-AACSZ,No,2023-05-01
2777-PHDEI,Yes,2023-05-01
3345-PBBFH,No,2023-05-01
3452-GWUIN,No,2023-05-01
7181-OQCUT,No,2023-05-01
7030-FZTFM,No,2023-05-01
0495-ZBNGW,Yes,2023-05-01
4395-PZMSN,No,2023-05-01
7602-DBTOU,No,2023-05-01
9975-GPKZU,No,2023-05-01
8818-DOPVL,No,2023-05-01
8189-XRIKE,No,2023-05-01
9732-OUYRN,No,2023-05-01
6873-UDNLD,No,2023-05-01
2200-DSAAL,No,2023-05-01
6741-QRLUP,No,2023-05-01
8642-GVWRF,Yes,2023-05-01
1307-ATKGB,No,2023-05-01
4729-XKASR,Yes,2023-05-01
0137-UDEUO,Yes,2023-05-01
3018-TFTSU,Yes,2023-05-01
7465-ZZRVX,No,2023-05-01
8327-WKMIE,No,2023-05-01
3934-HXCFZ,Yes,2023-05-01
0318-QUUOB,Yes,2023-05-01
4877-EVATK,Yes,2023-05-01
7524-VRLPL,No,2023-05-01
8065-BVEPF,No,2023-05-01
0325-XBFAC,Yes,2023-05-01
5701-ZIKJE,No,2023-05-01
7571-YXDAD,Yes,2023-05-01
6305-YLBMM,Yes,2023-05-01
1928-BXYIV,No,2023-05-01
5073-RZGBK,No,2023-05-01
6139-ZZRBQ,No,2023-05-01
2962-XPMCQ,Yes,2023-05-01
1622-HSHSF,No,2023-05-01
5734-EJKXG,No,2023-05-01
3339-EAQNV,No,2023-05-01
5177-RVZNU,No,2023-05-01
9475-NNDGC,No,2023-05-01
2359-KLTEK,No,2023-05-01
0114-PEGZZ,No,2023-05-01
5378-IKEEG,Yes,2023-05-01
3682-YEUWS,No,2023-05-01
3943-KDREE,Yes,2023-05-01
5236-XMZJY,No,2023-05-01
2067-QYTCF,No,2023-05-01
8774-GSBUN,No,2023-05-01
9927-DSWDF,No,2023-05-01
5673-TIYIB,Yes,2023-05-01
8966-OIQHG,No,2023-05-01
1328-EUZHC,No,2023-05-01
7267-FRMJW,No,2023-05-01
1078-TDCRN,No,2023-05-01
6135-OZQVA,No,2023-05-01
7570-WELNY,No,2023-05-01
4282-ACRXS,No,2023-05-01
9233-PSYHO,No,2023-05-01
6233-HXJMX,No,2023-05-01
9309-BZGNT,No,2023-05-01
3317-HRTNN,Yes,2023-05-01
6078-VESFR,No,2023-05-01
7901-IIDQV,No,2023-05-01
6283-GITPX,No,2023-05-01
9050-QLROH,Yes,2023-05-01
3137-LUPIX,No,2023-05-01
8910-ICHIU,No,2023-05-01
6435-VWCCY,No,2023-05-01
1833-TCXKK,No,2023-05-01
3458-IDMFK,No,2023-05-01
4419-UJMUS,No,2023-05-01
6345-ULYRW,Yes,2023-05-01
1716-LSAMB,No,2023-05-01
9572-MTILT,Yes,2023-05-01
3057-VJJQE,No,2023-05-01
6330-JKLPC,Yes,2023-05-01
9432-VOFYX,No,2023-05-01
4462-CYWMH,No,2023-05-01
9444-JTXHZ,Yes,2023-05-01
0875-CABNR,Yes,2023-05-01
0193-ESZXP,Yes,2023-05-01
0168-XZKBB,No,2023-05-01
8042-JVNFH,Yes,2023-05-01
1371-WEPDS,No,2023-05-01
0716-BQNDX,No,2023-05-01
7401-RUBNK,No,2023-05-01
1555-HAPSU,No,2023-05-01
5321-NTRKC,No,2023-05-01
2905-KFQUV,No,2023-05-01
5093-FEGLU,No,2023-05-01
4785-QRJHC,Yes,2023-05-01
9402-CXWPL,No,2023-05-01
2236-HILPA,No,2023-05-01
5995-OIGLP,Yes,2023-05-01
9782-LGXMC,No,2023-05-01
9185-TQCVP,Yes,2023-05-01
6736-DHUQI,No,2023-05-01
5095-AESKG,Yes,2023-05-01
1689-YQBYY,No,2023-05-01
7568-PODML,Yes,2023-05-01
5119-KEPFY,No,2023-05-01
7356-AYNJP,No,2023-05-01
7153-CHRBV,No,2023-05-01
2322-VCZHZ,No,2023-05-01
7779-ORAEL,No,2023-05-01
3413-CSSTH,No,2023-05-01
3058-WQDRE,No,2023-05-01
2330-PQGDQ,No,2023-05-01
5331-RGMTT,No,2023-05-01
2578-JQPHZ,No,2023-05-01
2985-FMWYF,No,2023-05-01
2754-XBHTB,Yes,2023-05-01
5022-JNQEQ,No,2023-05-01
9286-DOJGF,Yes,2023-05-01
9717-IOAAF,No,2023-05-01
1952-DVVSW,No,2023-05-01
1428-IEDPR,No,2023-05-01
6034-ZRYCV,Yes,2023-05-01
6302-JGYRJ,Yes,2023-05-01
4726-DLWQN,No,2023-05-01
2911-IJORQ,No,2023-05-01
6110-OHIHY,Yes,2023-05-01
2754-VDLTR,Yes,2023-05-01
6661-HBGWL,Yes,2023-05-01
2159-TURXX,No,2023-05-01
6340-DACFT,No,2023-05-01
7729-JTEEC,No,2023-05-01
9888-ZCUMM,No,2023-05-01
0898-XCGTF,No,2023-05-01
4480-MBMLB,No,2023-05-01
0305-SQECB,No,2023-05-01
9912-OMZDS,No,2023-05-01
7359-SSBJK,Yes,2023-05-01
6500-JVEGC,No,2023-05-01
7660-HDPJV,Yes,2023-05-01
9546-KDTRB,No,2023-05-01
8212-DJRCH,No,2023-05-01
8444-WRIDW,Yes,2023-05-01
6897-UUBNU,No,2023-05-01
5480-HPRRX,Yes,2023-05-01
7384-GHBPI,Yes,2023-05-01
6211-WHMYA,No,2023-05-01
6457-GIRWB,Yes,2023-05-01
9039-ZVJDC,No,2023-05-01
1264-FUHCX,No,2023-05-01
6447-GORXK,No,2023-05-01
6075-SLNIL,No,2023-05-01
7398-LXGYX,No,2023-05-01
