customerID,Churn,snapdate
7892-POOKP,Yes,2024-02-01
5248-YGIJN,No,2024-02-01
7639-LIAYI,No,2024-02-01
3170-NMYVV,No,2024-02-01
2796-NNUFI,No,2024-02-01
8597-CWYHH,No,2024-02-01
3930-ZGWVE,No,2024-02-01
6440-DKQGE,No,2024-02-01
3445-HXXGF,Yes,2024-02-01
0956-SYCWG,No,2024-02-01
7825-ECJRF,Yes,2024-02-01
4811-JBUVU,No,2024-02-01
0322-YINQP,Yes,2024-02-01
6323-AYBRX,Yes,2024-02-01
3488-PGMQJ,Yes,2024-02-01
3167-SNQPL,No,2024-02-01
5697-GOMBF,No,2024-02-01
6243-OZGFH,No,2024-02-01
9571-EDEBV,No,2024-02-01
8782-LKFPK,No,2024-02-01
4800-VHZKI,Yes,2024-02-01
4360-PNRQB,No,2024-02-01
5168-MSWXT,No,2024-02-01
8896-RAZCR,No,2024-02-01
4472-LVYGI,No,2024-02-01
4636-QRJKY,Yes,2024-02-01
7601-GNDYK,No,2024-02-01
4676-MQUEA,No,2024-02-01
0939-YAPAF,Yes,2024-02-01
0742-LAFQK,No,2024-02-01
8207-DMRVL,No,2024-02-01
2469-DTSGX,No,2024-02-01
5644-PDMZC,Yes,2024-02-01
3859-CVCET,Yes,2024-02-01
0946-FKYTX,No,2024-02-01
3014-WJKSM,No,2024-02-01
2684-EIWEO,Yes,2024-02-01
6425-JWTDV,No,2024-02-01
8728-SKJLR,No,2024-02-01
0810-BDHAW,No,2024-02-01
4289-DTDKW,Yes,2024-02-01
3104-OWCGK,Yes,2024-02-01
9778-OGKQZ,No,2024-02-01
3313-QKNKB,Yes,2024-02-01
0048-LUMLS,No,2024-02-01
4694-PHWFW,No,2024-02-01
0862-PRCBS,No,2024-02-01
7028-DVOIQ,Yes,2024-02-01
3429-IFLEM,No,2024-02-01
9046-JBFWA,No,2024-02-01
8818-XYFCQ,Yes,2024-02-01
8436-BJUMM,Yes,2024-02-01
2829-HYVZP,No,2024-02-01
5536-RTPWK,Yes,2024-02-01
7029-RPUAV,Yes,2024-02-01
9397-TZSHA,No,2024-02-01
0098-BOWSO,No,2024-02-01
7851-WZEKY,Yes,2024-02-01
5562-BETPV,No,2024-02-01
0080-OROZO,No,2024-02-01
5494-HECPR,Yes,2024-02-01
2040-VZIKE,No,2024-02-01
7321-PKUYW,Yes,2024-02-01
2408-TZMJL,Yes,2024-02-01
2616-FLVQC,No,2024-02-01
3372-KWFBM,Yes,2024-02-01
6475-VHUIZ,No,2024-02-01
1184-PJVDB,Yes,2024-02-01
6250-CGGUN,No,2024-02-01
9089-UOWJG,No,2024-02-01
5678-VFNEQ,No,2024-02-01
7767-UXAGJ,Yes,2024-02-01
2958-NHPPS,No,2024-02-01
9480-BQJEI,No,2024-02-01
8695-WDYEA,No,2024-02-01
2811-POVEX,No,2024-02-01
8096-LOIST,No,2024-02-01
5522-NYKPB,No,2024-02-01
3292-PBZEJ,No,2024-02-01
8152-UOBNY,No,2024-02-01
2387-KDZQY,No,2024-02-01
6267-DCFFZ,No,2024-02-01
7426-WEIJX,No,2024-02-01
9659-QEQSY,No,2024-02-01
4735-BJKOU,No,2024-02-01
8640-SDGKB,Yes,2024-02-01
8345-MVDYC,No,2024-02-01
8540-ZQGEA,No,2024-02-01
3055-VTCGS,No,2024-02-01
7416-CKTEP,No,2024-02-01
4816-LXZYW,Yes,2024-02-01
1839-UMACK,No,2024-02-01
7190-XHTWJ,No,2024-02-01
3961-SXAXY,No,2024-02-01
9894-QMIMJ,No,2024-02-01
8232-UTFOZ,No,2024-02-01
2484-DGXPZ,Yes,2024-02-01
8183-ONMXC,Yes,2024-02-01
5447-WZAFP,No,2024-02-01
3424-NMNBO,Yes,2024-02-01
9430-FRQOC,Yes,2024-02-01
4452-ROHMO,No,2024-02-01
9961-JBNMK,Yes,2024-02-01
9079-LWTFD,No,2024-02-01
6784-XYJAE,No,2024-02-01
0842-IWYCP,No,2024-02-01
1163-ONYEY,No,2024-02-01
1345-GKDZZ,No,2024-02-01
8699-ASUFO,Yes,2024-02-01
3689-MOZGR,No,2024-02-01
7216-EWTRS,Yes,2024-02-01
3597-YASZG,No,2024-02-01
9554-DFKIC,No,2024-02-01
7205-BAIAD,No,2024-02-01
2135-DQWAQ,No,2024-02-01
3324-OIRTO,No,2024-02-01
4238-JSSWH,No,2024-02-01
2683-JXWQQ,No,2024-02-01
6650-BWFRT,No,2024-02-01
9822-OAOVB,No,2024-02-01
6619-RPLQZ,No,2024-02-01
2519-FAKOD,Yes,2024-02-01
9221-OTIVJ,Yes,2024-02-01
2636-OHFMN,Yes,2024-02-01
4701-MLJPN,Yes,2024-02-01
9405-GPBBG,No,2024-02-01
4277-PVRAN,Yes,2024-02-01
9796-BPKIW,No,2024-02-01
2266-FUBDZ,No,2024-02-01
5780-INQIK,No,2024-02-01
4323-SADQS,Yes,2024-02-01
