feature,importance
Contract,25.09525844040112
InternetService,6.925209324851468
OnlineSecurity,4.93333035761999
PaymentMethod,4.906542815124737
AutoRenewal,4.79393915852948
TechSupport,4.19467277148845
StreamingMovies,3.7049585895464086
OnlineBackup,3.339460915719814
DeviceProtection,2.9653310833376936
CustomerSatisfactionScore,2.951933898158274
PaperlessBilling,2.860093470877223
LoyaltyProgramMember,2.7785936683681247
EmploymentStatus,2.3603045595507606
BillingCycle,2.2491179115510267
AverageDataUsage,2.145458755387079
InternationalCallingPlan,2.13440240315888
PhoneService,1.997903209681137
GamingBundle,1.7947732411456119
MonthlyCharges,1.7921894466518322
StreamingTV,1.7874094818374437
CloudStoragePlan,1.5147272127493878
MultipleLines,1.4024235198435493
DiscountApplied,1.3581157992168258
snapdate_dayofweek,1.3424256769926715
Partner,1.3398189096880573
EducationLevel,1.317381167279113
AnnualIncomeBracket,1.286202187726081
SmartHomePackage,1.273447466623845
AppLoginFrequency,1.0830865049788554
HouseholdSize,1.0251435711368497
snapdate_quarter,0.6878452408177211
gender,0.46095417729060595
Dependents,0.13565258434658178
SeniorCitizen,0.061892478323289195
snapdate_day,0.0
