customerID,Churn,snapdate,Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,gender,SeniorCitizen,Partner,Dependents,EducationLevel,HouseholdSize,EmploymentStatus,AnnualIncomeBracket,MonthlyCharges,AverageDataUsage,AppLoginFrequency,CustomerSatisfactionScore,split
9763-GRSKD,0,2023-02-01,Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,No,male,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,49.95,201.23,2.0,2.0,train
0565-JUPYD,0,2023-02-01,One year,No,Credit card (automatic),Yes,Semiann,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,male,0.0,No,No,Bachelor,1.0,Self-employed,>150k,104.5,329.97,3.0,2.0,train
2167-FQSTQ,0,2023-02-01,Two year,Yes,Electronic check,No,Monthly,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,female,0.0,Yes,No,College,2.0,Self-employed,>150k,92.4,245.2,0.0,2.0,train
7734-DBOAI,1,2023-02-01,Month-to-month,No,Electronic check,No,Monthly,Yes,No,No,No phone service,DSL,No,No,No,Yes,Yes,No,Yes,No,No,Yes,female,0.0,Yes,Yes,College,3.0,Employed,60–100k,40.1,166.77,5.0,1.0,train
8908-NMQTX,0,2023-02-01,Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,male,0.0,No,No,College,1.0,Retired,100–150k,65.6,243.9,6.0,3.0,train
8200-KLNYW,0,2023-02-01,One year,No,Mailed check,No,Monthly,Yes,Yes,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,female,0.0,Yes,No,College,3.0,Self-employed,100–150k,80.9,262.04,5.0,2.0,train
0848-ZGQIJ,0,2023-02-01,Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No, Yes  ,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,female,0.0,Yes,No,Bachelor,3.0,Retired,>150k,94.65,275.16,5.0,2.0,train
5061-PBXFW,0,2023-02-01,Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,Yes,No,No,female,0.0,Yes,Yes,College,2.0,Self-employed,100–150k,61.4,130.77,4.0,3.0,train
4925-LMHOK,1,2023-02-01,Month-to-month,Yes,Credit card (automatic),No,Monthly,No,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,male,0.0,No,No,College,1.0,Self-employed,100–150k,58.6,113.51,6.0,2.0,train
0442-ZXKVS,0,2023-02-01,One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,female,1.0,Yes,No,Bachelor,4.0,Retired,>150k,115.6,231.88,4.0,ORPH-f3881846,train
1945-XISKS,0,2023-02-01,Two year,No,Mailed check,Yes,Monthly,Yes,Yes,Yes,No,DSL ,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,female,0.0,Yes,No,College,2.0,Employed,60–100k,19.65,21.9,0.0,2.0,train
4625-XMOYM,0,2023-02-01,Two year,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,female,0.0,Yes,Yes,College,3.0,Self-employed,60–100k,26.25,17.91,0.0,2.0,train
1386-ZIKUV,0,2023-02-01,Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,male,0.0,No,No,College,1.0,Self-employed,60–100k,18.95,0.0,5.0,UNK-9c7c21de,train
4884-TVUQF,0,2023-02-01,Two year,No,Credit card (automatic), Yes  ,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,No,No,No,No,female,1.0,No,No,Bachelor,1.0,Retired,>150k,101.3,198.21,2.0,ORPH-731e8a83,train
2889-FPWRM,1,2023-02-01,One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,male,0.0,Yes,No,Bachelor,3.0,Retired,>150k,117.8,369.02,6.0,2.0,train
1852-XEMDW,0,2023-02-01,Month-to-month,No,Mailed check, Yes  ,Monthly,No,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,male,0.0,No,No,College,3.0,Self-employed,100–150k,65.05,110.84,1.0,1.0,train
6509-TSGWN,0,2023-02-01,Month-to-month,No,Mailed check,No,Monthly,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,female,0.0,Yes,Yes,College,2.0,Employed,60–100k,26.45,0.0,0.0,3.0,train
